modified,created,deleted,renamed,total,mod_ratio,rename_ratio,rate,label
45,8,6,6,39,1.1538461538461535,0.1538461538461538,7.8,normal
46,8,6,6,40,1.15,0.15,8.0,normal
47,8,6,6,41,1.146341463414634,0.1463414634146341,8.2,normal
47,8,6,7,42,1.119047619047619,0.1666666666666666,8.4,normal
48,8,6,7,43,1.1162790697674418,0.1627906976744186,8.6,normal
48,8,7,7,44,1.0909090909090908,0.1590909090909091,8.8,normal
49,8,7,7,45,1.0888888888888888,0.1555555555555555,9.0,normal
49,9,7,7,46,1.065217391304348,0.1521739130434782,9.2,normal
50,9,7,7,47,1.0638297872340423,0.1489361702127659,9.4,normal
51,9,7,7,48,1.0625,0.1458333333333333,9.6,normal
51,9,7,8,49,1.0408163265306123,0.1632653061224489,9.8,normal
52,9,7,8,50,1.04,0.16,10.0,normal
52,9,8,8,51,1.0196078431372548,0.1568627450980392,10.2,normal
53,9,8,8,52,1.0192307692307692,0.1538461538461538,10.4,normal
53,10,8,8,53,1.0,0.1509433962264151,10.6,normal
54,10,8,8,54,1.0,0.1481481481481481,10.8,normal
55,10,8,8,55,1.0,0.1454545454545454,11.0,normal
55,10,8,9,56,0.9821428571428572,0.1607142857142857,11.2,normal
56,10,8,9,57,0.9824561403508772,0.1578947368421052,11.4,normal
56,10,9,9,58,0.9655172413793104,0.1551724137931034,11.6,normal
57,10,9,9,59,0.9661016949152542,0.1525423728813559,11.8,normal
57,11,9,9,60,0.95,0.15,12.0,normal
58,11,9,9,61,0.9508196721311476,0.1475409836065573,12.2,normal
59,11,9,9,62,0.9516129032258064,0.1451612903225806,12.4,normal
59,11,9,10,63,0.9365079365079364,0.1587301587301587,12.6,normal
60,11,9,10,64,0.9375,0.15625,12.8,normal
60,11,10,10,65,0.9230769230769232,0.1538461538461538,13.0,normal
61,11,10,10,66,0.9242424242424242,0.1515151515151515,13.2,normal
61,12,10,10,67,0.9104477611940298,0.1492537313432835,13.4,normal
62,12,10,10,68,0.9117647058823528,0.1470588235294117,13.6,normal
63,12,10,10,69,0.9130434782608696,0.144927536231884,13.8,normal
63,12,10,11,70,0.9,0.1571428571428571,14.0,normal
64,12,10,11,71,0.9014084507042254,0.1549295774647887,14.2,normal
64,12,11,11,72,0.8888888888888888,0.1527777777777778,14.4,normal
65,12,11,11,73,0.8904109589041096,0.1506849315068493,14.6,normal
65,13,11,11,74,0.8783783783783784,0.1486486486486486,14.8,normal
66,13,11,11,75,0.88,0.1466666666666666,15.0,normal
67,13,11,11,76,0.881578947368421,0.1447368421052631,15.2,wannacry
67,13,11,12,77,0.8701298701298701,0.1558441558441558,15.4,wannacry
68,13,11,12,78,0.8717948717948718,0.1538461538461538,15.6,wannacry
68,13,12,12,79,0.8607594936708861,0.1518987341772152,15.8,wannacry
69,13,12,12,80,0.8625,0.15,16.0,wannacry
69,14,12,12,81,0.8518518518518519,0.1481481481481481,16.2,wannacry
70,14,12,12,82,0.8536585365853658,0.1463414634146341,16.4,wannacry
71,14,12,12,83,0.8554216867469879,0.144578313253012,16.6,wannacry
71,14,12,13,84,0.8452380952380952,0.1547619047619047,16.8,wannacry
72,14,12,13,85,0.8470588235294118,0.1529411764705882,17.0,wannacry
72,14,13,13,86,0.8372093023255814,0.1511627906976744,17.2,wannacry
73,14,13,13,87,0.8390804597701149,0.1494252873563218,17.4,wannacry
73,15,13,13,88,0.8295454545454546,0.1477272727272727,17.6,wannacry
74,15,13,13,89,0.8314606741573034,0.146067415730337,17.8,wannacry
75,15,13,13,90,0.8333333333333334,0.1444444444444444,18.0,wannacry
75,15,13,14,91,0.8241758241758241,0.1538461538461538,18.2,wannacry
76,15,13,14,92,0.8260869565217391,0.1521739130434782,18.4,wannacry
76,15,14,14,93,0.8172043010752689,0.1505376344086021,18.6,wannacry
77,15,14,14,94,0.8191489361702128,0.1489361702127659,18.8,wannacry
77,16,14,14,95,0.8105263157894737,0.1473684210526315,19.0,wannacry
78,16,14,14,96,0.8125,0.1458333333333333,19.2,wannacry
79,16,14,14,97,0.8144329896907216,0.1443298969072164,19.4,wannacry
79,16,14,15,98,0.8061224489795918,0.1530612244897959,19.6,wannacry
80,16,14,15,99,0.8080808080808081,0.1515151515151515,19.8,wannacry
80,16,15,15,100,0.8,0.15,20.0,wannacry
81,16,15,15,101,0.801980198019802,0.1485148514851485,20.2,wannacry
81,17,15,15,102,0.7941176470588235,0.1470588235294117,20.4,wannacry
82,17,15,15,103,0.7961165048543689,0.145631067961165,20.6,wannacry
83,17,15,15,104,0.7980769230769231,0.1442307692307692,20.8,wannacry
83,17,15,16,104,0.7980769230769231,0.1538461538461538,20.8,wannacry
84,17,15,16,104,0.8076923076923077,0.1538461538461538,20.8,wannacry
84,17,16,16,104,0.8076923076923077,0.1538461538461538,20.8,wannacry
85,17,16,16,104,0.8173076923076923,0.1538461538461538,20.8,wannacry
85,18,16,16,104,0.8173076923076923,0.1538461538461538,20.8,wannacry
86,18,16,16,104,0.8269230769230769,0.1538461538461538,20.8,wannacry
87,18,16,16,104,0.8365384615384616,0.1538461538461538,20.8,wannacry
87,18,16,17,104,0.8365384615384616,0.1634615384615384,20.8,wannacry
88,18,16,17,104,0.8461538461538461,0.1634615384615384,20.8,wannacry
88,18,17,17,103,0.8543689320388349,0.1650485436893204,20.6,wannacry
89,18,17,17,104,0.8557692307692307,0.1634615384615384,20.8,wannacry
89,19,17,17,104,0.8557692307692307,0.1634615384615384,20.8,wannacry
90,19,17,17,103,0.8737864077669902,0.1650485436893204,20.6,wannacry
91,19,17,17,104,0.875,0.1634615384615384,20.8,wannacry
91,19,17,18,104,0.875,0.173076923076923,20.8,wannacry
92,19,17,18,104,0.8846153846153846,0.173076923076923,20.8,wannacry
92,19,18,18,105,0.8761904761904762,0.1714285714285714,21.0,wannacry
93,19,18,18,106,0.8773584905660378,0.1698113207547169,21.2,wannacry
93,20,18,18,107,0.8691588785046729,0.1682242990654205,21.4,wannacry
94,20,18,18,108,0.8703703703703703,0.1666666666666666,21.6,wannacry
95,20,18,18,109,0.8715596330275229,0.1651376146788991,21.8,wannacry
95,20,18,19,110,0.8636363636363636,0.1727272727272727,22.0,wannacry
96,20,18,19,111,0.8648648648648649,0.1711711711711711,22.2,wannacry
96,20,19,19,112,0.8571428571428571,0.1696428571428571,22.4,wannacry
97,20,19,19,113,0.8584070796460177,0.168141592920354,22.6,wannacry
97,21,19,19,114,0.8508771929824561,0.1666666666666666,22.8,wannacry
98,21,19,19,115,0.8521739130434782,0.1652173913043478,23.0,wannacry
99,21,19,19,116,0.853448275862069,0.1637931034482758,23.2,wannacry
99,21,19,20,117,0.8461538461538461,0.1709401709401709,23.4,wannacry
100,21,19,20,118,0.847457627118644,0.1694915254237288,23.6,wannacry
100,21,20,20,119,0.8403361344537815,0.1680672268907563,23.8,wannacry
101,21,20,20,120,0.8416666666666667,0.1666666666666666,24.0,wannacry
101,22,20,20,121,0.8347107438016529,0.1652892561983471,24.2,wannacry
102,22,20,20,122,0.8360655737704918,0.1639344262295081,24.4,wannacry
103,22,20,20,123,0.8373983739837398,0.1626016260162601,24.6,wannacry
103,22,20,21,124,0.8306451612903226,0.1693548387096774,24.8,wannacry
104,22,20,21,125,0.832,0.168,25.0,wannacry
104,22,21,21,126,0.8253968253968254,0.1666666666666666,25.2,wannacry
105,22,21,21,127,0.8267716535433071,0.1653543307086614,25.4,wannacry
105,23,21,21,128,0.8203125,0.1640625,25.6,wannacry
106,23,21,21,129,0.8217054263565892,0.1627906976744186,25.8,wannacry
107,23,21,21,130,0.823076923076923,0.1615384615384615,26.0,wannacry
107,23,21,22,131,0.816793893129771,0.1679389312977099,26.2,wannacry
108,23,21,22,132,0.8181818181818182,0.1666666666666666,26.4,wannacry
108,23,22,22,133,0.8120300751879699,0.1654135338345864,26.6,wannacry
109,23,22,22,134,0.8134328358208955,0.1641791044776119,26.8,wannacry
109,24,22,22,135,0.8074074074074075,0.1629629629629629,27.0,wannacry
110,24,22,22,135,0.8148148148148148,0.1629629629629629,27.0,wannacry
111,24,22,22,135,0.8222222222222222,0.1629629629629629,27.0,wannacry
111,24,22,23,135,0.8222222222222222,0.1703703703703703,27.0,wannacry
112,24,22,23,135,0.8296296296296296,0.1703703703703703,27.0,wannacry
112,24,23,23,135,0.8296296296296296,0.1703703703703703,27.0,wannacry
113,24,23,23,135,0.837037037037037,0.1703703703703703,27.0,wannacry
113,25,23,23,135,0.837037037037037,0.1703703703703703,27.0,wannacry
114,25,23,23,135,0.8444444444444444,0.1703703703703703,27.0,wannacry
115,25,23,23,135,0.8518518518518519,0.1703703703703703,27.0,wannacry
115,25,23,24,135,0.8518518518518519,0.1777777777777777,27.0,wannacry
116,25,23,24,135,0.8592592592592593,0.1777777777777777,27.0,wannacry
116,25,24,24,135,0.8592592592592593,0.1777777777777777,27.0,wannacry
117,25,24,24,135,0.8666666666666667,0.1777777777777777,27.0,wannacry
117,26,24,24,135,0.8666666666666667,0.1777777777777777,27.0,wannacry
118,26,24,24,135,0.8740740740740741,0.1777777777777777,27.0,wannacry
119,26,24,24,135,0.8814814814814815,0.1777777777777777,27.0,wannacry
119,26,24,25,136,0.875,0.1838235294117647,27.2,wannacry
120,26,24,25,135,0.8888888888888888,0.1851851851851851,27.0,wannacry
120,26,25,25,135,0.8888888888888888,0.1851851851851851,27.0,wannacry
121,26,25,25,136,0.8897058823529411,0.1838235294117647,27.2,wannacry
121,27,25,25,136,0.8897058823529411,0.1838235294117647,27.2,wannacry
122,27,25,25,135,0.9037037037037036,0.1851851851851851,27.0,wannacry
123,27,25,25,135,0.9111111111111112,0.1851851851851851,27.0,wannacry
123,27,25,26,135,0.9111111111111112,0.1925925925925926,27.0,wannacry
124,27,25,26,135,0.9185185185185184,0.1925925925925926,27.0,wannacry
124,27,26,26,135,0.9185185185185184,0.1925925925925926,27.0,wannacry
125,27,26,26,135,0.925925925925926,0.1925925925925926,27.0,wannacry
125,28,26,26,135,0.925925925925926,0.1925925925925926,27.0,wannacry
126,28,26,26,135,0.9333333333333332,0.1925925925925926,27.0,wannacry
127,28,26,26,135,0.9407407407407408,0.1925925925925926,27.0,wannacry
127,28,26,27,135,0.9407407407407408,0.2,27.0,wannacry
128,28,26,27,135,0.9481481481481482,0.2,27.0,wannacry
128,28,27,27,135,0.9481481481481482,0.2,27.0,wannacry
129,28,27,27,135,0.9555555555555556,0.2,27.0,wannacry
129,29,27,27,135,0.9555555555555556,0.2,27.0,wannacry
130,29,27,27,135,0.9629629629629628,0.2,27.0,wannacry
131,29,27,27,135,0.9703703703703704,0.2,27.0,wannacry
131,29,27,28,135,0.9703703703703704,0.2074074074074074,27.0,wannacry
132,29,27,28,135,0.9777777777777776,0.2074074074074074,27.0,wannacry
132,29,28,28,135,0.9777777777777776,0.2074074074074074,27.0,wannacry
133,29,28,28,135,0.9851851851851852,0.2074074074074074,27.0,wannacry
133,30,28,28,135,0.9851851851851852,0.2074074074074074,27.0,wannacry
134,30,28,28,135,0.9925925925925926,0.2074074074074074,27.0,wannacry
135,30,28,28,135,1.0,0.2074074074074074,27.0,wannacry
135,30,28,29,135,1.0,0.2148148148148148,27.0,wannacry
136,30,28,29,135,1.0074074074074073,0.2148148148148148,27.0,wannacry
136,30,29,29,135,1.0074074074074073,0.2148148148148148,27.0,wannacry
137,30,29,29,135,1.0148148148148148,0.2148148148148148,27.0,wannacry
137,31,29,29,136,1.0073529411764706,0.213235294117647,27.2,wannacry
138,31,29,29,135,1.022222222222222,0.2148148148148148,27.0,wannacry
139,31,29,29,135,1.0296296296296297,0.2148148148148148,27.0,wannacry
139,31,29,30,135,1.0296296296296297,0.2222222222222222,27.0,wannacry
140,31,29,30,135,1.037037037037037,0.2222222222222222,27.0,wannacry
140,31,30,30,135,1.037037037037037,0.2222222222222222,27.0,wannacry
141,31,30,30,135,1.0444444444444445,0.2222222222222222,27.0,wannacry
141,32,30,30,135,1.0444444444444445,0.2222222222222222,27.0,wannacry
142,32,30,30,135,1.0518518518518518,0.2222222222222222,27.0,wannacry
143,32,30,30,135,1.0592592592592591,0.2222222222222222,27.0,wannacry
143,32,30,31,135,1.0592592592592591,0.2296296296296296,27.0,wannacry
144,32,30,31,135,1.0666666666666669,0.2296296296296296,27.0,wannacry
144,32,31,31,135,1.0666666666666669,0.2296296296296296,27.0,wannacry
145,32,31,31,135,1.0740740740740742,0.2296296296296296,27.0,wannacry
145,33,31,31,135,1.0740740740740742,0.2296296296296296,27.0,wannacry
146,33,31,31,135,1.0814814814814817,0.2296296296296296,27.0,wannacry
147,33,31,31,135,1.0888888888888888,0.2296296296296296,27.0,wannacry
147,33,31,32,135,1.0888888888888888,0.237037037037037,27.0,wannacry
148,33,31,32,135,1.0962962962962963,0.237037037037037,27.0,wannacry
148,33,32,32,135,1.0962962962962963,0.237037037037037,27.0,wannacry
149,33,32,32,135,1.1037037037037036,0.237037037037037,27.0,wannacry
149,34,32,32,136,1.0955882352941178,0.2352941176470588,27.2,wannacry
150,34,32,32,135,1.1111111111111112,0.237037037037037,27.0,wannacry
151,34,32,32,135,1.1185185185185185,0.237037037037037,27.0,wannacry
151,34,32,33,135,1.1185185185185185,0.2444444444444444,27.0,wannacry
152,34,32,33,135,1.125925925925926,0.2444444444444444,27.0,wannacry
152,34,33,33,135,1.125925925925926,0.2444444444444444,27.0,wannacry
153,34,33,33,136,1.125,0.2426470588235294,27.2,wannacry
153,35,33,33,136,1.125,0.2426470588235294,27.2,wannacry
154,35,33,33,135,1.1407407407407408,0.2444444444444444,27.0,wannacry
155,35,33,33,135,1.148148148148148,0.2444444444444444,27.0,wannacry
155,35,33,34,135,1.148148148148148,0.2518518518518518,27.0,wannacry
156,35,33,34,135,1.1555555555555554,0.2518518518518518,27.0,wannacry
156,35,34,34,135,1.1555555555555554,0.2518518518518518,27.0,wannacry
157,35,34,34,135,1.162962962962963,0.2518518518518518,27.0,wannacry
157,36,34,34,135,1.162962962962963,0.2518518518518518,27.0,wannacry
158,36,34,34,135,1.1703703703703705,0.2518518518518518,27.0,wannacry
159,36,34,34,135,1.1777777777777778,0.2518518518518518,27.0,wannacry
159,36,34,35,135,1.1777777777777778,0.2592592592592592,27.0,wannacry
160,36,34,35,135,1.1851851851851851,0.2592592592592592,27.0,wannacry
160,36,35,35,135,1.1851851851851851,0.2592592592592592,27.0,wannacry
161,36,35,35,135,1.1925925925925926,0.2592592592592592,27.0,wannacry
161,37,35,35,135,1.1925925925925926,0.2592592592592592,27.0,wannacry
162,37,35,35,135,1.2,0.2592592592592592,27.0,wannacry
163,37,35,35,135,1.2074074074074077,0.2592592592592592,27.0,wannacry
163,37,35,36,135,1.2074074074074077,0.2666666666666666,27.0,wannacry
164,37,35,36,135,1.2148148148148148,0.2666666666666666,27.0,wannacry
164,37,36,36,135,1.2148148148148148,0.2666666666666666,27.0,wannacry
165,37,36,36,135,1.2222222222222223,0.2666666666666666,27.0,wannacry
165,38,36,36,136,1.213235294117647,0.2647058823529412,27.2,wannacry
166,38,36,36,135,1.2296296296296296,0.2666666666666666,27.0,wannacry
167,38,36,36,136,1.2279411764705883,0.2647058823529412,27.2,wannacry
167,38,36,37,136,1.2279411764705883,0.2720588235294117,27.2,wannacry
168,38,36,37,135,1.2444444444444445,0.2740740740740741,27.0,wannacry
168,38,37,37,136,1.2352941176470589,0.2720588235294117,27.2,wannacry
169,38,37,37,136,1.2426470588235294,0.2720588235294117,27.2,wannacry
169,39,37,37,136,1.2426470588235294,0.2720588235294117,27.2,wannacry
170,39,37,37,136,1.25,0.2720588235294117,27.2,wannacry
171,39,37,37,135,1.2666666666666666,0.2740740740740741,27.0,wannacry
171,39,37,38,135,1.2666666666666666,0.2814814814814815,27.0,wannacry
172,39,37,38,135,1.274074074074074,0.2814814814814815,27.0,wannacry
172,39,38,38,136,1.2647058823529411,0.2794117647058823,27.2,wannacry
173,39,38,38,136,1.2720588235294117,0.2794117647058823,27.2,wannacry
173,40,38,38,136,1.2720588235294117,0.2794117647058823,27.2,wannacry
174,40,38,38,136,1.2794117647058822,0.2794117647058823,27.2,wannacry
175,40,38,38,136,1.286764705882353,0.2794117647058823,27.2,wannacry
175,40,38,39,136,1.286764705882353,0.2867647058823529,27.2,wannacry
176,40,38,39,136,1.2941176470588236,0.2867647058823529,27.2,wannacry
176,40,39,39,136,1.2941176470588236,0.2867647058823529,27.2,wannacry
177,40,39,39,136,1.3014705882352942,0.2867647058823529,27.2,wannacry
177,41,39,39,136,1.3014705882352942,0.2867647058823529,27.2,wannacry
178,41,39,39,136,1.3088235294117647,0.2867647058823529,27.2,wannacry
179,41,39,39,136,1.3161764705882353,0.2867647058823529,27.2,wannacry
179,41,39,40,136,1.3161764705882353,0.2941176470588235,27.2,wannacry
180,41,39,40,136,1.3235294117647058,0.2941176470588235,27.2,wannacry
180,41,40,40,136,1.3235294117647058,0.2941176470588235,27.2,wannacry
181,41,40,40,136,1.3308823529411764,0.2941176470588235,27.2,wannacry
181,42,40,40,136,1.3308823529411764,0.2941176470588235,27.2,wannacry
182,42,40,40,136,1.338235294117647,0.2941176470588235,27.2,wannacry
183,42,40,40,136,1.3455882352941178,0.2941176470588235,27.2,wannacry
183,42,40,41,136,1.3455882352941178,0.3014705882352941,27.2,wannacry
184,42,40,41,136,1.3529411764705883,0.3014705882352941,27.2,wannacry
184,42,41,41,136,1.3529411764705883,0.3014705882352941,27.2,wannacry
185,42,41,41,136,1.3602941176470589,0.3014705882352941,27.2,wannacry
185,43,41,41,136,1.3602941176470589,0.3014705882352941,27.2,wannacry
186,43,41,41,136,1.3676470588235294,0.3014705882352941,27.2,wannacry
187,43,41,41,136,1.375,0.3014705882352941,27.2,wannacry
187,43,41,42,136,1.375,0.3088235294117647,27.2,wannacry
188,43,41,42,136,1.3823529411764706,0.3088235294117647,27.2,wannacry
188,43,42,42,136,1.3823529411764706,0.3088235294117647,27.2,wannacry
189,43,42,42,136,1.3897058823529411,0.3088235294117647,27.2,wannacry
189,44,42,42,136,1.3897058823529411,0.3088235294117647,27.2,wannacry
190,44,42,42,136,1.3970588235294117,0.3088235294117647,27.2,wannacry
191,44,42,42,136,1.4044117647058822,0.3088235294117647,27.2,wannacry
191,44,42,43,136,1.4044117647058822,0.3161764705882353,27.2,wannacry
192,44,42,43,136,1.411764705882353,0.3161764705882353,27.2,wannacry
192,44,43,43,136,1.411764705882353,0.3161764705882353,27.2,wannacry
193,44,43,43,136,1.4191176470588236,0.3161764705882353,27.2,wannacry
193,45,43,43,136,1.4191176470588236,0.3161764705882353,27.2,wannacry
194,45,43,43,136,1.4264705882352942,0.3161764705882353,27.2,wannacry
195,45,43,43,136,1.4338235294117647,0.3161764705882353,27.2,wannacry
195,45,43,44,136,1.4338235294117647,0.3235294117647059,27.2,wannacry
196,45,43,44,136,1.4411764705882353,0.3235294117647059,27.2,wannacry
196,45,44,44,135,1.451851851851852,0.3259259259259259,27.0,wannacry
197,45,44,44,136,1.4485294117647058,0.3235294117647059,27.2,wannacry
197,46,44,44,136,1.4485294117647058,0.3235294117647059,27.2,wannacry
198,46,44,44,136,1.4558823529411764,0.3235294117647059,27.2,wannacry
199,46,44,44,136,1.463235294117647,0.3235294117647059,27.2,wannacry
199,46,44,45,136,1.463235294117647,0.3308823529411764,27.2,wannacry
200,46,44,45,136,1.4705882352941178,0.3308823529411764,27.2,wannacry
200,46,45,45,136,1.4705882352941178,0.3308823529411764,27.2,wannacry
201,46,45,45,136,1.4779411764705883,0.3308823529411764,27.2,wannacry
201,47,45,45,136,1.4779411764705883,0.3308823529411764,27.2,wannacry
202,47,45,45,136,1.4852941176470589,0.3308823529411764,27.2,wannacry
203,47,45,45,136,1.4926470588235294,0.3308823529411764,27.2,wannacry
203,47,45,46,136,1.4926470588235294,0.3382352941176471,27.2,wannacry
204,47,45,46,136,1.5,0.3382352941176471,27.2,wannacry
204,47,46,46,136,1.5,0.3382352941176471,27.2,wannacry
205,47,46,46,136,1.5073529411764706,0.3382352941176471,27.2,wannacry
205,48,46,46,137,1.4963503649635037,0.3357664233576642,27.4,wannacry
206,48,46,46,136,1.5147058823529411,0.3382352941176471,27.2,wannacry
207,48,46,46,136,1.5220588235294117,0.3382352941176471,27.2,wannacry
207,48,46,47,136,1.5220588235294117,0.3455882352941176,27.2,wannacry
208,48,46,47,136,1.5294117647058822,0.3455882352941176,27.2,wannacry
208,48,47,47,136,1.5294117647058822,0.3455882352941176,27.2,wannacry
209,48,47,47,136,1.536764705882353,0.3455882352941176,27.2,wannacry
209,49,47,47,136,1.536764705882353,0.3455882352941176,27.2,wannacry
210,49,47,47,136,1.5441176470588236,0.3455882352941176,27.2,wannacry
211,49,47,47,136,1.5514705882352942,0.3455882352941176,27.2,wannacry
211,49,47,48,136,1.5514705882352942,0.3529411764705882,27.2,wannacry
212,49,47,48,136,1.5588235294117647,0.3529411764705882,27.2,wannacry
212,49,48,48,136,1.5588235294117647,0.3529411764705882,27.2,wannacry
213,49,48,48,136,1.5661764705882353,0.3529411764705882,27.2,wannacry
213,50,48,48,137,1.5547445255474452,0.3503649635036496,27.4,wannacry
214,50,48,48,136,1.5735294117647058,0.3529411764705882,27.2,wannacry
215,50,48,48,136,1.5808823529411764,0.3529411764705882,27.2,wannacry
215,50,48,49,136,1.5808823529411764,0.3602941176470588,27.2,wannacry
216,50,48,49,136,1.588235294117647,0.3602941176470588,27.2,wannacry
216,50,49,49,136,1.588235294117647,0.3602941176470588,27.2,wannacry
217,50,49,49,136,1.5955882352941178,0.3602941176470588,27.2,wannacry
217,51,49,49,137,1.583941605839416,0.3576642335766423,27.4,wannacry
218,51,49,49,136,1.6029411764705883,0.3602941176470588,27.2,wannacry
219,51,49,49,136,1.6102941176470589,0.3602941176470588,27.2,wannacry
219,51,49,50,136,1.6102941176470589,0.3676470588235294,27.2,wannacry
220,51,49,50,136,1.6176470588235294,0.3676470588235294,27.2,wannacry
220,51,50,50,136,1.6176470588235294,0.3676470588235294,27.2,wannacry
221,51,50,50,136,1.625,0.3676470588235294,27.2,wannacry
221,52,50,50,136,1.625,0.3676470588235294,27.2,wannacry
222,52,50,50,136,1.6323529411764706,0.3676470588235294,27.2,wannacry
223,52,50,50,136,1.6397058823529411,0.3676470588235294,27.2,wannacry
223,52,50,51,136,1.6397058823529411,0.375,27.2,wannacry
224,52,50,51,136,1.6470588235294117,0.375,27.2,wannacry
224,52,51,51,136,1.6470588235294117,0.375,27.2,wannacry
225,52,51,51,136,1.6544117647058822,0.375,27.2,wannacry
225,53,51,51,137,1.6423357664233578,0.3722627737226277,27.4,wannacry
226,53,51,51,136,1.661764705882353,0.375,27.2,wannacry
227,53,51,51,137,1.6569343065693432,0.3722627737226277,27.4,wannacry
227,53,51,52,136,1.6691176470588236,0.3823529411764705,27.2,wannacry
228,53,51,52,136,1.6764705882352942,0.3823529411764705,27.2,wannacry
228,53,52,52,136,1.6764705882352942,0.3823529411764705,27.2,wannacry
229,53,52,52,136,1.6838235294117647,0.3823529411764705,27.2,wannacry
229,54,52,52,137,1.6715328467153283,0.3795620437956204,27.4,wannacry
230,54,52,52,137,1.6788321167883211,0.3795620437956204,27.4,wannacry
231,54,52,52,136,1.6985294117647058,0.3823529411764705,27.2,wannacry
231,54,52,53,136,1.6985294117647058,0.3897058823529412,27.2,wannacry
232,54,52,53,136,1.7058823529411764,0.3897058823529412,27.2,wannacry
232,54,53,53,136,1.7058823529411764,0.3897058823529412,27.2,wannacry
233,54,53,53,136,1.713235294117647,0.3897058823529412,27.2,wannacry
233,55,53,53,137,1.7007299270072993,0.3868613138686131,27.4,wannacry
234,55,53,53,136,1.7205882352941178,0.3897058823529412,27.2,wannacry
235,55,53,53,137,1.715328467153285,0.3868613138686131,27.4,wannacry
235,55,53,54,136,1.7279411764705883,0.3970588235294117,27.2,wannacry
236,55,53,54,136,1.7352941176470589,0.3970588235294117,27.2,wannacry
236,55,54,54,136,1.7352941176470589,0.3970588235294117,27.2,wannacry
